iteration,num_elements,time_taken
1,16,0.0080108642578125
2,21,0.0005052089691162109
3,26,0.035919189453125
4,31,0.06855630874633789
5,36,0.12971162796020508
6,41,0.23432230949401855
7,46,0.44100046157836914
8,51,0.9979724884033203
9,56,1.9600427150726318
10,61,2.668843984603882
11,66,3.7924978733062744
12,71,5.582857370376587
13,76,8.21122407913208
14,81,13.589216709136963
15,86,23.737582206726074
16,91,30.276070833206177
17,96,42.00952076911926
18,101,50.21398401260376
19,106,86.49746751785278
20,111,258.22550678253174
